Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_10	892	NRF1	NRF1_MOUSE.H11MO.0.A	1.07116E-07	NRF1_HUMAN.H11MO.0.A	1.32211E-06	NRF1_NRF_1	4.33816E-05	NRF1_MA0506.1	0.000275477	ZEB1_MA0103.3	1.0										
metacluster_0.pattern_11	592	ATF1	ATF2_HUMAN.H11MO.0.B	0.00873741	ATF2_MOUSE.H11MO.0.A	0.00873741	JUN_MA0488.1	0.00873741	JUND_MA0492.1	0.0118569	RXRB_HUMAN.H11MO.0.C	0.0317679	RXRB_MOUSE.H11MO.0.C	0.0317679	FOSB+JUNB_MA1136.1	0.0317679	FOSL1+JUN_MA1129.1	0.0317679	FOSB+JUN_MA1127.1	0.0317679	XBP1_bZIP_1	0.0317679
metacluster_0.pattern_12	515	STA5A	BCL6_HUMAN.H11MO.0.A	0.000709249	BCL6_MOUSE.H11MO.0.A	0.000709249	Bcl6_MA0463.1	0.000709249	STA5A_HUMAN.H11MO.0.A	0.00209579	STA5A_MOUSE.H11MO.0.A	0.00457551	STAT1_MA0137.3	0.00467576	STAT4_MOUSE.H11MO.0.A	0.00628374	Stat4_MA0518.1	0.00628374	STAT4_HUMAN.H11MO.0.A	0.0081964	STAT1_HUMAN.H11MO.0.A	0.0081964
metacluster_0.pattern_13	462	ATF1.1	Atf1_MA0604.1	0.118758	FOSL1+JUND_MA1143.1	0.170902	Crem_MA0609.1	0.295707	GMEB2_SAND_3	0.295707	GMEB2_SAND_1	0.295707	ATF1_HUMAN.H11MO.0.B	0.295707	ATF4_MA0833.1	0.295707	ATF4_bZIP_1	0.295707	CREB1_HUMAN.H11MO.0.A	0.295707	CREB1_MOUSE.H11MO.0.A	0.295707
metacluster_0.pattern_14	423	FOSL1+JUN	FOSL2+JUNB_MA1139.1	0.000155695	ATF7_MA0834.1	0.000155695	ATF7_bZIP_1	0.000155695	FOS+JUN_MA1126.1	0.000160144	FOSB+JUNB_MA1136.1	0.000300261	FOSB+JUN_MA1127.1	0.000300261	CREB1_MA0018.3	0.000300261	Creb5.mouse_bZIP_1	0.000300261	Creb5_MA0840.1	0.000300261	JDP2_MA0656.1	0.000300261
metacluster_0.pattern_15	394	RFX	NFIC_HUMAN.H11MO.0.A	1.77341E-05	NFIA_HUMAN.H11MO.0.C	0.0118593	NFIA_MOUSE.H11MO.0.C	0.0118593	NFIB_MOUSE.H11MO.0.C	0.0143792	NFIX_NFI_1	0.0189919	NFIC+TLX1_MA0119.1	0.0359464	NFIA_NFI_1	0.0419	NFIB_NFI_1	0.0772928	NFIX_NFI_4	0.107349	SMAD4_MOUSE.H11MO.0.A	0.215112
metacluster_0.pattern_16	390	ZNF76	ZNF76_HUMAN.H11MO.0.C	3.55717E-17	ZN143_MOUSE.H11MO.0.A	8.08721E-11	ZN143_HUMAN.H11MO.0.A	8.08721E-11	THA11_HUMAN.H11MO.0.B	2.48889E-10	THA11_MOUSE.H11MO.0.B	3.21563E-10	ZNF143_C2H2_1	0.00761613	ZNF143_MA0088.2	0.00761613	STAT3_HUMAN.H11MO.0.A	0.0379163	P63_HUMAN.H11MO.0.A	0.0583238	P63_MOUSE.H11MO.0.B	0.0583238
metacluster_0.pattern_17	365	RFX	RFX3_MOUSE.H11MO.0.C	2.50525E-09	Rfx1_MA0509.1	5.21957E-09	RFX2_MOUSE.H11MO.0.A	9.14818E-09	RFX2_HUMAN.H11MO.0.A	5.70279E-08	RFX3_MA0798.1	7.64149E-08	RFX3_RFX_1	7.64149E-08	RFX2_MA0600.2	7.64149E-08	RFX2_RFX_1	7.64149E-08	Rfx2.mouse_RFX_1	9.01844E-08	Rfx3.mouse_RFX_1	9.01844E-08
metacluster_0.pattern_18	315	GC	SP2_HUMAN.H11MO.0.A	0.00267217	SP2_MOUSE.H11MO.0.B	0.00267217	SP1_MOUSE.H11MO.0.A	0.0294217	SP1_HUMAN.H11MO.0.A	0.0356519	SP3_HUMAN.H11MO.0.B	0.0356519	SP3_MOUSE.H11MO.0.B	0.0356519	MXI1_HUMAN.H11MO.0.A	0.0564495	MXI1_MOUSE.H11MO.0.A	0.0564495	RFX1_HUMAN.H11MO.0.B	0.0564495	RFX1_MOUSE.H11MO.0.A	0.0564495
metacluster_0.pattern_19	275	REST	REST_MA0138.2	1.83056E-14	REST_MOUSE.H11MO.0.A	2.69834E-13	REST_HUMAN.H11MO.0.A	2.20324E-12	ZN335_HUMAN.H11MO.0.A	0.0523023	ZN335_MOUSE.H11MO.0.A	0.0523023	Sox1.mouse_HMG_3	0.910251	SRY_HMG_3	1.0	SOX21_HMG_3	1.0	SOX14_HMG_3	1.0	CLOCK_HUMAN.H11MO.0.C	1.0
metacluster_0.pattern_20	261	TYY1	TYY1_HUMAN.H11MO.0.A	2.59894E-05	TYY1_MOUSE.H11MO.0.A	9.52608E-05	YY1_MA0095.2	9.52608E-05	TAF1_MOUSE.H11MO.0.A	0.000527781	THAP1_HUMAN.H11MO.0.C	0.00065063	TAF1_HUMAN.H11MO.0.A	0.00324426	ZFP42_HUMAN.H11MO.0.A	0.00324426	ZFP42_MOUSE.H11MO.0.A	0.00324426	YY2_C2H2_2	0.00711795	YY1_C2H2_1	0.0495059
metacluster_0.pattern_21	194	ZBTB33	ZBTB33_MA0527.1	0.000958598	KAISO_HUMAN.H11MO.0.A	0.000958598	KAISO_MOUSE.H11MO.0.B	0.000958598	ZBED1_MA0749.1	0.417225	ZBED1_znf_BED_1	0.417225	TFE3_bHLH_1	0.485575	HOXA13_homeodomain_4	0.485575	SREBF2_MA0828.1	0.485575	SREBF2_bHLH_1	0.485575	Srebf1.mouse_bHLH_1	0.485575
metacluster_0.pattern_22	164	GC	NRF1_NRF_1	0.011962	NRF1_MOUSE.H11MO.0.A	0.011962	NRF1_HUMAN.H11MO.0.A	0.011962	NRF1_MA0506.1	0.0267408	CEBPD_HUMAN.H11MO.0.C	0.0704427	CEBPE_MA0837.1	0.0760693	CEBPE_bZIP_1	0.0760693	CEBPB_MA0466.2	0.0969424	CEBPB_bZIP_1	0.0969424	HEN1_HUMAN.H11MO.0.C	0.0969424
metacluster_0.pattern_23	164	ZNF76	ZNF76_HUMAN.H11MO.0.C	0.000508897	ZNF143_C2H2_1	0.00164932	ZNF143_MA0088.2	0.00164932	ZN143_HUMAN.H11MO.0.A	0.0145993	THA11_HUMAN.H11MO.0.B	0.0145993	THA11_MOUSE.H11MO.0.B	0.0145993	ZN143_MOUSE.H11MO.0.A	0.0156356	ZN816_HUMAN.H11MO.0.C	0.825785	Bcl6_MA0463.1	0.825785	Z324A_HUMAN.H11MO.0.C	0.84119
metacluster_0.pattern_24	132	NA	SOX9_HMG_2	0.570967	FOXA2_HUMAN.H11MO.0.A	0.570967	SOX8_HMG_1	0.570967	SOX8_MA0868.1	0.570967	ISL2_MA0914.1	0.570967	ISL2_homeodomain_1	0.570967	NKX31_HUMAN.H11MO.0.C	0.570967	NKX31_MOUSE.H11MO.0.C	0.570967	BARHL2_homeodomain_5	0.570967	Barhl1.mouse_homeodomain_2	0.570967
metacluster_0.pattern_25	116	DIMER	Hic1.mouse_C2H2_1	1.0	CTCF_MA0139.1	1.0	CTCF_MOUSE.H11MO.0.A	1.0	NR1H3_HUMAN.H11MO.0.B	1.0	CTCF_HUMAN.H11MO.0.A	1.0	CTCF_C2H2_1	1.0	Hic1.mouse_C2H2_2	1.0	Hic1_MA0739.1	1.0				
metacluster_0.pattern_26	74	DIMER	Gabpa_MA0062.2	0.282713	ATF1_HUMAN.H11MO.0.B	0.282713	CREB1_HUMAN.H11MO.0.A	0.282713	CREB1_MOUSE.H11MO.0.A	0.282713	GMEB2_SAND_3	0.282713	Atf1_MA0604.1	0.282713	ELK1_HUMAN.H11MO.0.B	0.282713	ELF2_MOUSE.H11MO.0.C	0.282713	ELK1_MOUSE.H11MO.0.B	0.282713	ZN528_HUMAN.H11MO.0.C	0.282713
metacluster_0.pattern_27	62	RFX	RFX3_RFX_2	6.32295E-06	Rfx2.mouse_RFX_2	6.32295E-06	RFX2_RFX_2	6.32295E-06	RFX4_RFX_2	8.99925E-06	RFX6_MOUSE.H11MO.0.C	0.00805165	RFX1_HUMAN.H11MO.0.B	0.0361858	RFX1_MOUSE.H11MO.0.A	0.0361858	RFX5_RFX_2	0.0361858	RFX5_RFX_3	0.0361858	RFX5_HUMAN.H11MO.0.A	0.0361858
metacluster_0.pattern_28	56	DIMER	SNAI2_HUMAN.H11MO.0.A	0.0498955	SNAI2_MOUSE.H11MO.0.A	0.0538768	ITF2_MOUSE.H11MO.0.B	0.0812595	ID4_MA0824.1	0.18078	ID4_bHLH_1	0.18078	ASCL1_HUMAN.H11MO.0.A	0.321998	MYF6_HUMAN.H11MO.0.C	0.321998	MYF6_MOUSE.H11MO.0.C	0.321998	SNAI2_C2H2_1	0.480457	SNAI2_MA0745.1	0.480457
metacluster_0.pattern_29	52	DIMER	SP4_HUMAN.H11MO.0.A	9.46608E-06	SP4_MOUSE.H11MO.0.B	9.46608E-06	SP2_MA0516.1	0.000242632	KLF9_HUMAN.H11MO.0.C	0.000242632	KLF14_C2H2_1	0.000250896	KLF14_MA0740.1	0.000250896	SP1_HUMAN.H11MO.0.A	0.000252146	SP1_MA0079.3	0.000272911	KLF4_MOUSE.H11MO.0.A	0.00030087	KLF3_HUMAN.H11MO.0.B	0.00030087
metacluster_0.pattern_30	49	DIMER	GCR_MOUSE.H11MO.0.A	0.825996	PRGR_MOUSE.H11MO.0.A	0.825996	GCR_HUMAN.H11MO.0.A	0.825996	KLF5_MA0599.1	0.825996	ANDR_MOUSE.H11MO.0.A	0.838581	SP1_MA0079.3	1.0	ZBT14_HUMAN.H11MO.0.C	1.0	NGN2_MOUSE.H11MO.0.C	1.0	KLF6_HUMAN.H11MO.0.A	1.0	KLF6_MOUSE.H11MO.0.B	1.0
metacluster_0.pattern_31	40	DIMER	ETV6_ETS_1	7.98944E-09	GABPA_MOUSE.H11MO.0.A	0.0489479	GABPA_HUMAN.H11MO.0.A	0.0489479	Gabpa_MA0062.2	0.0489479	IRF7_IRF_1	0.0489479	IRF7_MA0772.1	0.0489479	ELK4_MA0076.2	0.0489479	ELK1_MOUSE.H11MO.0.B	0.0949276	ELK4_MOUSE.H11MO.0.B	0.100648	ELK1_HUMAN.H11MO.0.B	0.100648
metacluster_0.pattern_32	39	DIMER	ATF4_MOUSE.H11MO.0.A	0.000118636	ATF4_HUMAN.H11MO.0.A	0.000234344	CEBPG_MOUSE.H11MO.0.B	0.000488317	CEBPG_HUMAN.H11MO.0.B	0.000526836	Atf4.mouse_bZIP_1	0.000526836	ATF4_MA0833.1	0.000526836	ATF4_bZIP_1	0.000526836	DDIT3_MOUSE.H11MO.0.C	0.000750525	NFIL3_MOUSE.H11MO.0.C	0.0566047	CEBPA_MA0102.3	0.0578317
metacluster_0.pattern_33	34	DIMER	Rhox11.mouse_homeodomain_1	1.0	GATA1+TAL1_MA0140.2	1.0	FOXO3_MOUSE.H11MO.0.B	1.0	FOXP2_HUMAN.H11MO.0.C	1.0	Foxo1_MA0480.1	1.0	Rhox11_MA0629.1	1.0								
metacluster_0.pattern_34	24	DIMER	Mecom_MA0029.1	0.0245902	GATA6_HUMAN.H11MO.0.A	0.0245902	EVI1_HUMAN.H11MO.0.B	0.0268326	EVI1_MOUSE.H11MO.0.B	0.0268326	GATA6_MA1104.1	0.13624	GATA3_MA0037.3	0.754953	GATA5_GATA_1	0.754953	GATA5_MA0766.1	0.754953	GATA3_GATA_1	0.754953	GATA4_GATA_1	0.841051
metacluster_0.pattern_35	24	DIMER	ZNF384_MA1125.1	0.0532645	PRDM6_HUMAN.H11MO.0.C	0.0532645	STAT1_MOUSE.H11MO.0.A	0.231122	ANDR_HUMAN.H11MO.0.A	0.231122	FOXJ3_HUMAN.H11MO.0.A	0.242088	FOXJ3_MOUSE.H11MO.0.A	0.242088	IRF1_MA0050.2	0.768008	NFAC1_HUMAN.H11MO.0.B	0.797481	IRF1_HUMAN.H11MO.0.A	0.797481	ONECUT3_CUT_1	0.797481
metacluster_0.pattern_36	24	DIMER	TAL1_HUMAN.H11MO.0.A	0.0370935	Klf1_MA0493.1	0.0370935	GATA1_MOUSE.H11MO.0.A	0.0370935	KLF9_MA1107.1	0.0370935	KLF5_MA0599.1	0.0370935	GATA1_HUMAN.H11MO.0.A	0.0370935	KLF4_HUMAN.H11MO.0.A	0.0370935	SP1_C2H2_1	0.0372694	ZBT17_HUMAN.H11MO.0.A	0.0533569	ZNF740_C2H2_2	0.0533569
metacluster_0.pattern_37	23	DIMER	FOXI1_forkhead_2	0.152133	ZNF232_C2H2_1	0.282995	GATA3_GATA_1	0.66733	GATA3_GATA_2	0.66733	GATA4_GATA_1	0.66733	GATA3_MA0037.3	0.66733	GATA5_GATA_1	0.66733	GATA5_MA0766.1	0.66733	TAL1_HUMAN.H11MO.0.A	1.0	TAL1_MOUSE.H11MO.0.A	1.0
metacluster_1.pattern_0	858	HIC	Hic1.mouse_C2H2_2	0.00902089	Hic1_MA0739.1	0.00902089	HIC2_C2H2_1	0.0117271	HIC2_MA0738.1	0.0117271	Hic1.mouse_C2H2_1	0.0117271	CREB3L1_bZIP_4	0.02932	CREB3L1_bZIP_6	0.0853013	CREB3L1_MA0839.1	0.106459	CREB3L1_bZIP_1	0.106459	NFIX_MA0671.1	0.106459
metacluster_1.pattern_1	810	ZBT7A	ZBT7A_HUMAN.H11MO.0.A	0.101554	ZBT7A_MOUSE.H11MO.0.B	0.101554	GLIS1_C2H2_1	0.101554	GLIS1_MA0735.1	0.101554	RXRG_nuclearreceptor_3	0.101554	Rxrb.mouse_nuclearreceptor_1	0.101554	HNF4A_nuclearreceptor_4	0.101554	GLIS2_C2H2_1	0.101554	GLIS2_MA0736.1	0.101554	GLIS3_C2H2_1	0.101554
metacluster_1.pattern_2	355	GATA	GATA3_GATA_1	0.366407	GATA3_GATA_2	0.366407	GATA3_MA0037.3	0.366407	GATA4_GATA_1	0.366407	GATA5_GATA_1	0.366407	GATA5_MA0766.1	0.366407	GATA4_HUMAN.H11MO.0.A	0.366407	GATA4_MOUSE.H11MO.0.A	0.366407	GATA6_MOUSE.H11MO.0.A	0.366407	GATA2_MA0036.3	0.366407
metacluster_1.pattern_3	221	SP1/KLF	SP3_HUMAN.H11MO.0.B	3.40241E-06	SP3_MOUSE.H11MO.0.B	3.40241E-06	SP2_HUMAN.H11MO.0.A	3.40241E-06	SP2_MOUSE.H11MO.0.B	3.40241E-06	SP1_MOUSE.H11MO.0.A	4.61697E-06	SP1_HUMAN.H11MO.0.A	0.000144537	SP2_MA0516.1	0.000310584	WT1_HUMAN.H11MO.0.C	0.000310584	WT1_MOUSE.H11MO.0.B	0.000310584	ZN467_HUMAN.H11MO.0.C	0.000397899
metacluster_1.pattern_4	156		SP3_HUMAN.H11MO.0.B	0.00824384	SP3_MOUSE.H11MO.0.B	0.00824384	SP2_HUMAN.H11MO.0.A	0.00824384	SP2_MOUSE.H11MO.0.B	0.00824384	WT1_HUMAN.H11MO.0.C	0.0108634	WT1_MOUSE.H11MO.0.B	0.0108634	SP2_MA0516.1	0.0168318	ZBT17_MOUSE.H11MO.0.A	0.0168318	SP1_MOUSE.H11MO.0.A	0.0192166	CTCFL_MOUSE.H11MO.0.A	0.0240935
metacluster_1.pattern_5	137		FOS_MOUSE.H11MO.0.A	0.00490762	FOSL2_MOUSE.H11MO.0.A	0.00490762	JUND_HUMAN.H11MO.0.A	0.00490762	JUND_MOUSE.H11MO.0.A	0.00490762	JUN_HUMAN.H11MO.0.A	0.00490762	FOSL2_HUMAN.H11MO.0.A	0.00490762	ATF3_MOUSE.H11MO.0.A	0.00490762	FOS_HUMAN.H11MO.0.A	0.00490762	NF2L2_HUMAN.H11MO.0.A	0.00490762	BACH2_MA1101.1	0.00490762
metacluster_1.pattern_6	131		ZIC3_HUMAN.H11MO.0.B	0.0942792	ZIC3_MOUSE.H11MO.0.A	0.0942792	MYC_MA0147.3	0.0942792	PPARG_MA0066.1	0.0942792	ZIC2_MOUSE.H11MO.0.C	0.161029	MYCN_MA0104.4	0.207033	MYC_MOUSE.H11MO.0.A	0.207033	USF2_MA0526.2	0.207033	ESR2_HUMAN.H11MO.0.A	0.207033	ESR2_MOUSE.H11MO.0.A	0.207033
metacluster_1.pattern_7	116		E2F4_MOUSE.H11MO.0.A	0.0394494	SP2_MA0516.1	0.0510667	SP4_HUMAN.H11MO.0.A	0.0637086	SP4_MOUSE.H11MO.0.B	0.0637086	TFDP1_HUMAN.H11MO.0.C	0.0637086	E2F4_HUMAN.H11MO.0.A	0.0637086	TAF1_HUMAN.H11MO.0.A	0.0637086	SP2_HUMAN.H11MO.0.A	0.0637086	SP2_MOUSE.H11MO.0.B	0.0637086	CTCFL_MA1102.1	0.0661919
metacluster_1.pattern_8	102		CTCFL_MOUSE.H11MO.0.A	5.59924E-08	CTCFL_HUMAN.H11MO.0.A	6.6231E-07	CTCF_MOUSE.H11MO.0.A	6.6231E-07	CTCF_C2H2_1	1.17193E-06	CTCF_HUMAN.H11MO.0.A	2.12176E-06	CTCF_MA0139.1	4.40468E-06	CTCFL_MA1102.1	8.05453E-05	ZBT7A_HUMAN.H11MO.0.A	0.147046	ZBT7A_MOUSE.H11MO.0.B	0.147046	MXI1_HUMAN.H11MO.0.A	0.411184
metacluster_1.pattern_9	95		HIC2_C2H2_1	0.00836272	HIC2_MA0738.1	0.00836272	Hic1.mouse_C2H2_2	0.00836272	Hic1_MA0739.1	0.00836272	NFIX_MA0671.1	0.0425204	NFIX_NFI_2	0.0425204	MAX_bHLH_1	0.0991162	NFIB_MOUSE.H11MO.0.C	0.195283	Hic1.mouse_C2H2_1	0.662073	ZNF18_HUMAN.H11MO.0.C	0.662073
metacluster_1.pattern_10	91		SP1_HUMAN.H11MO.0.A	0.000591063	SP3_HUMAN.H11MO.0.B	0.000591063	SP3_MOUSE.H11MO.0.B	0.000591063	KLF15_HUMAN.H11MO.0.A	0.000713703	KLF15_MOUSE.H11MO.0.A	0.000713703	SP1_MOUSE.H11MO.0.A	0.000882605	WT1_HUMAN.H11MO.0.C	0.00225943	WT1_MOUSE.H11MO.0.B	0.00225943	SP2_HUMAN.H11MO.0.A	0.00459604	SP2_MOUSE.H11MO.0.B	0.00459604
metacluster_1.pattern_11	82		CTCF_MOUSE.H11MO.0.A	0.00032313	CTCF_HUMAN.H11MO.0.A	0.00053112	CTCF_MA0139.1	0.00053112	CTCFL_HUMAN.H11MO.0.A	0.00506988	CTCFL_MOUSE.H11MO.0.A	0.0057161	CTCF_C2H2_1	0.0741856	CTCFL_MA1102.1	0.0929481	SNAI1_HUMAN.H11MO.0.C	0.772682	SNAI1_MOUSE.H11MO.0.C	0.772682	ZSC31_HUMAN.H11MO.0.C	1.0
metacluster_1.pattern_12	79		ZN770_HUMAN.H11MO.0.C	0.0347777	PRDM1_MA0508.2	0.826271	NR1D2_MOUSE.H11MO.0.A	0.826271	RORG_HUMAN.H11MO.0.C	0.826271	RORG_MOUSE.H11MO.0.B	0.826271	STAT1_MOUSE.H11MO.0.A	0.826271	IRF4_MOUSE.H11MO.0.A	0.826271	STAT1+STAT2_MA0517.1	0.826271	OLIG2_HUMAN.H11MO.0.B	0.826271	OLIG2_MOUSE.H11MO.0.A	0.826271
metacluster_1.pattern_13	60		KLF6_HUMAN.H11MO.0.A	0.0896165	KLF6_MOUSE.H11MO.0.B	0.0896165	EGR1_HUMAN.H11MO.0.A	0.0896165	KLF15_HUMAN.H11MO.0.A	0.0896165	KLF15_MOUSE.H11MO.0.A	0.0896165	EGR2_MOUSE.H11MO.0.A	0.126952	ZBT17_MOUSE.H11MO.0.A	0.175769	SP1_HUMAN.H11MO.0.A	0.175769	SP3_HUMAN.H11MO.0.B	0.208179	SP3_MOUSE.H11MO.0.B	0.208179
metacluster_1.pattern_14	48		BACH2_HUMAN.H11MO.0.A	6.84848E-06	BACH2_MOUSE.H11MO.0.A	6.84848E-06	NF2L2_MOUSE.H11MO.0.A	6.84848E-06	NFE2_MOUSE.H11MO.0.A	6.84848E-06	BACH1_MOUSE.H11MO.0.C	6.84848E-06	Bach1+Mafk_MA0591.1	6.84848E-06	MAFK_MA0496.2	8.47907E-06	MAFK_MOUSE.H11MO.0.A	8.47907E-06	MAFF_MA0495.2	8.47907E-06	NFE2_HUMAN.H11MO.0.A	1.0631E-05
metacluster_1.pattern_15	44		MYC_MA0147.3	0.181243	ITF2_HUMAN.H11MO.0.C	0.181243	HTF4_MOUSE.H11MO.0.A	0.181243	HIC2_C2H2_1	0.181243	HIC2_MA0738.1	0.181243	SP2_HUMAN.H11MO.0.A	0.181243	SP2_MOUSE.H11MO.0.B	0.181243	SP2_MA0516.1	0.193357	E2F3_MOUSE.H11MO.0.A	0.196098	SP1_HUMAN.H11MO.0.A	0.196098
metacluster_1.pattern_16	22		JUND_MOUSE.H11MO.0.A	0.242461	JUN_MOUSE.H11MO.0.A	0.242461	JUNB_HUMAN.H11MO.0.A	0.242461	FOS_HUMAN.H11MO.0.A	0.242461	FOSL1_HUMAN.H11MO.0.A	0.242461	FOSL1_MOUSE.H11MO.0.A	0.242461	ATF3_MOUSE.H11MO.0.A	0.259082	ZFP57_MOUSE.H11MO.0.B	0.259082	JUNB_MOUSE.H11MO.0.A	0.335129	ZN770_HUMAN.H11MO.0.C	0.384294
